"","X","paths","operations","pam_fit$clustering"
"1","1forge.com",2,2,1
"2","6-dot-authentiqio.appspot.com",5,14,2
"3","adafruit.com",34,69,3
"4","adobe.com:aem",27,31,4
"5","adyen.com:CheckoutService",2,2,1
"6","adyen.com:PaymentService",7,7,5
"7","adyen.com:RecurringService",2,2,1
"8","afterbanks.com",3,3,6
"9","agco-ats.com",109,191,7
"10","airport-web.appspot.com",1,1,8
"11","amadeus.com",23,23,9
"12","amazonaws.com:AWSMigrationHub",16,32,4
"13","amazonaws.com:acm",12,24,9
"14","amazonaws.com:acm-pca",16,32,4
"15","amazonaws.com:alexaforbusiness",49,98,10
"16","amazonaws.com:apigateway",52,172,11
"17","amazonaws.com:application-autoscaling",10,20,9
"18","amazonaws.com:appstream",33,66,3
"19","amazonaws.com:appsync",12,39,12
"20","amazonaws.com:athena",11,22,9
"21","amazonaws.com:autoscaling",52,104,10
"22","amazonaws.com:autoscaling-plans",5,10,13
"23","amazonaws.com:batch",16,32,4
"24","amazonaws.com:budgets",13,26,4
"25","amazonaws.com:ce",6,12,13
"26","amazonaws.com:cloud9",10,20,9
"27","amazonaws.com:clouddirectory",61,124,11
"28","amazonaws.com:cloudformation",41,82,10
"29","amazonaws.com:cloudfront",27,73,3
"30","amazonaws.com:cloudhsm",20,40,12
"31","amazonaws.com:cloudhsmv2",10,20,9
"32","amazonaws.com:cloudsearch",24,48,12
"33","amazonaws.com:cloudsearchdomain",3,6,14
"34","amazonaws.com:cloudtrail",14,28,4
"35","amazonaws.com:codebuild",16,32,4
"36","amazonaws.com:codecommit",36,72,3
"37","amazonaws.com:codedeploy",40,80,10
"38","amazonaws.com:codepipeline",32,64,3
"39","amazonaws.com:codestar",18,36,12
"40","amazonaws.com:cognito-identity",18,36,12
"41","amazonaws.com:cognito-idp",95,190,7
"42","amazonaws.com:cognito-sync",12,29,4
"43","amazonaws.com:comprehend",11,22,9
"44","amazonaws.com:config",40,80,10
"45","amazonaws.com:connect",2,4,15
"46","amazonaws.com:cur",3,6,14
"47","amazonaws.com:datapipeline",19,38,12
"48","amazonaws.com:dax",21,42,12
"49","amazonaws.com:devicefarm",62,124,11
"50","amazonaws.com:directconnect",44,88,10
"51","amazonaws.com:discovery",19,38,12
"52","amazonaws.com:dms",44,88,10
"53","amazonaws.com:ds",40,80,10
"54","amazonaws.com:dynamodb",33,66,3
"55","amazonaws.com:ec2",274,548,16
"56","amazonaws.com:ecr",22,44,12
"57","amazonaws.com:ecs",31,62,3
"58","amazonaws.com:elasticache",40,80,10
"59","amazonaws.com:elasticbeanstalk",44,88,10
"60","amazonaws.com:elasticfilesystem",8,19,9
"61","amazonaws.com:elasticloadbalancing",29,58,3
"62","amazonaws.com:elasticloadbalancingv2",34,68,3
"63","amazonaws.com:elasticmapreduce",27,54,3
"64","amazonaws.com:elastictranscoder",11,28,4
"65","amazonaws.com:email",70,140,11
"66","amazonaws.com:entitlement.marketplace",1,2,1
"67","amazonaws.com:es",15,32,4
"68","amazonaws.com:events",15,30,4
"69","amazonaws.com:firehose",10,20,9
"70","amazonaws.com:fms",12,24,9
"71","amazonaws.com:gamelift",67,134,11
"72","amazonaws.com:glacier",18,51,12
"73","amazonaws.com:glue",78,156,11
"74","amazonaws.com:greengrass",38,112,10
"75","amazonaws.com:guardduty",28,70,3
"76","amazonaws.com:health",6,12,13
"77","amazonaws.com:iam",123,246,7
"78","amazonaws.com:importexport",6,12,13
"79","amazonaws.com:inspector",33,66,3
"80","amazonaws.com:iot",75,198,11
"81","amazonaws.com:iot-data",2,6,14
"82","amazonaws.com:iot-jobs-data",3,7,14
"83","amazonaws.com:iot1click-devices",9,19,9
"84","amazonaws.com:iot1click-projects",6,19,9
"85","amazonaws.com:iotanalytics",15,45,12
"86","amazonaws.com:kinesis",23,46,12
"87","amazonaws.com:kinesis-video-archived-media",2,4,15
"88","amazonaws.com:kinesis-video-media",1,2,1
"89","amazonaws.com:kinesisanalytics",17,34,4
"90","amazonaws.com:kinesisvideo",10,20,9
"91","amazonaws.com:kms",35,70,3
"92","amazonaws.com:lambda",17,47,12
"93","amazonaws.com:lex-models",32,68,3
"94","amazonaws.com:lightsail",71,142,11
"95","amazonaws.com:logs",33,66,3
"96","amazonaws.com:machinelearning",28,56,3
"97","amazonaws.com:marketplacecommerceanalytics",2,4,15
"98","amazonaws.com:mediaconvert",9,29,4
"99","amazonaws.com:medialive",8,25,9
"100","amazonaws.com:mediapackage",5,16,2
"101","amazonaws.com:mediastore",10,20,9
"102","amazonaws.com:mediastore-data",2,7,14
"103","amazonaws.com:meteringmarketplace",3,6,14
"104","amazonaws.com:mobile",7,16,2
"105","amazonaws.com:mobileanalytics",1,2,1
"106","amazonaws.com:monitoring",16,32,4
"107","amazonaws.com:mq",9,26,4
"108","amazonaws.com:mturk-requester",39,78,3
"109","amazonaws.com:opsworks",74,148,11
"110","amazonaws.com:opsworkscm",15,30,4
"111","amazonaws.com:organizations",42,84,10
"112","amazonaws.com:pinpoint",32,97,10
"113","amazonaws.com:polly",4,10,13
"114","amazonaws.com:pricing",3,6,14
"115","amazonaws.com:rds",93,186,7
"116","amazonaws.com:redshift",63,126,11
"117","amazonaws.com:rekognition",33,66,3
"118","amazonaws.com:resource-groups",6,18,9
"119","amazonaws.com:resourcegroupstaggingapi",5,10,13
"120","amazonaws.com:route53",40,96,10
"121","amazonaws.com:route53domains",24,48,12
"122","amazonaws.com:runtime.lex",2,4,15
"123","amazonaws.com:runtime.sagemaker",1,2,1
"124","amazonaws.com:s3",74,151,11
"125","amazonaws.com:sagemaker",34,68,3
"126","amazonaws.com:sdb",10,20,9
"127","amazonaws.com:secretsmanager",15,30,4
"128","amazonaws.com:serverlessrepo",6,16,2
"129","amazonaws.com:servicecatalog",60,120,11
"130","amazonaws.com:servicediscovery",18,36,12
"131","amazonaws.com:shield",10,20,9
"132","amazonaws.com:sms",11,22,9
"133","amazonaws.com:snowball",17,34,4
"134","amazonaws.com:sns",30,60,3
"135","amazonaws.com:sqs",20,40,12
"136","amazonaws.com:ssm",99,198,7
"137","amazonaws.com:states",19,38,12
"138","amazonaws.com:storagegateway",63,126,11
"139","amazonaws.com:streams.dynamodb",4,8,5
"140","amazonaws.com:sts",7,14,2
"141","amazonaws.com:support",14,28,4
"142","amazonaws.com:swf",31,62,3
"143","amazonaws.com:transcribe",8,16,2
"144","amazonaws.com:translate",1,2,1
"145","amazonaws.com:waf",69,138,11
"146","amazonaws.com:waf-regional",73,146,11
"147","amazonaws.com:workdocs",25,65,3
"148","amazonaws.com:workmail",31,62,3
"149","amazonaws.com:workspaces",23,46,12
"150","amazonaws.com:xray",8,16,2
"151","anchore.io",32,47,12
"152","apache.org:qakka",7,10,13
"153","apacta.com",79,136,11
"154","api2cart.com",108,108,11
"155","apigee.net:marketcheck-cars",27,35,12
"156","apimatic.io",1,1,8
"157","apis.guru",2,2,1
"158","apitore.com:2chMatomeFeedsApis",1,1,8
"159","apitore.com:certificateFeedsApis",1,1,8
"160","apitore.com:cosineSimilarity",2,2,1
"161","apitore.com:designFeedsApis",1,1,8
"162","apitore.com:documentFrequencyApis",1,1,8
"163","apitore.com:gameFeedsApis",1,1,8
"164","apitore.com:japaneseWordnetApis",1,1,8
"165","apitore.com:kmeansClusteringByWord2vec",1,1,8
"166","apitore.com:kuromojiApis",2,4,15
"167","apitore.com:languageDetectionApis",2,2,1
"168","apitore.com:newsFeedsApis",1,1,8
"169","apitore.com:pioneerBlogFeedsApis",1,1,8
"170","apitore.com:rss2jsonApis",1,1,8
"171","apitore.com:sentenceSeparatorApis",1,1,8
"172","apitore.com:sentenceSimilarity",1,1,8
"173","apitore.com:sentencepieceApis_tweet_",1,1,8
"174","apitore.com:sentencepieceApis_wikipedia_",2,2,1
"175","apitore.com:sentimentApis",1,1,8
"176","apitore.com:synonymApis",1,1,8
"177","apitore.com:techFeedsApis",1,1,8
"178","apitore.com:text2labelByTfidfApis",1,1,8
"179","apitore.com:text2labelByWordVectorApis",1,1,8
"180","apitore.com:travelFeedsApis",1,1,8
"181","apitore.com:tweetSummarizationApis",1,1,8
"182","apitore.com:twitterApis",3,3,6
"183","apitore.com:twitterApisWithSentimentByApitoreSentimentApi",1,1,8
"184","apitore.com:twitterApisWithWord2vecQueryExpansion",1,1,8
"185","apitore.com:twitterApisWithWord2vecQueryExpansion,AndAddSentimentByApitoreSentimentApi",1,1,8
"186","apitore.com:url2hrefApis",1,1,8
"187","apitore.com:url2htmlApis",1,1,8
"188","apitore.com:url2labelByTfidfApis",1,1,8
"189","apitore.com:url2labelByWordVectorApis",1,1,8
"190","apitore.com:url2srcApis",1,1,8
"191","apitore.com:url2textApis",1,1,8
"192","apitore.com:word2vecApis",5,5,17
"193","apitore.com:wordnetApis",8,8,5
"194","apitore.com:wordnetHypernymApis",1,1,8
"195","apitore.com:wordnetHyponymApis",1,1,8
"196","apitore.com:wordnetSimilarityApis",8,8,5
"197","apitore.com:wordnetSynonymApis",1,1,8
"198","apitore.com:wordnetTranslationApis",1,1,8
"199","apitore.com:wordsToVectorsApis",1,1,8
"200","appveyor.com",34,75,3
"201","archive.org:search",3,3,6
"202","archive.org:wayback",1,2,1
"203","art19.com",22,22,9
"204","ato.gov.au",38,108,10
"205","aucklandmuseum.com",4,6,14
"206","authentiq.io",6,9,5
"207","avaza.com",28,40,12
"208","aviationdata.systems",6,6,14
"209","azure.com:advisor",9,13,2
"210","azure.com:analysisservices",12,15,2
"211","azure.com:apimanagement",4,7,5
"212","azure.com:apimanagement-apimapis",19,46,12
"213","azure.com:apimanagement-apimauthorizationservers",2,6,14
"214","azure.com:apimanagement-apimbackends",3,7,14
"215","azure.com:apimanagement-apimcertificates",2,5,17
"216","azure.com:apimanagement-apimdeployment",11,14,2
"217","azure.com:apimanagement-apimdiagnostics",4,10,13
"218","azure.com:apimanagement-apimemailtemplate",2,6,14
"219","azure.com:apimanagement-apimgroups",4,10,13
"220","azure.com:apimanagement-apimidentityprovider",2,6,14
"221","azure.com:apimanagement-apimloggers",2,6,14
"222","azure.com:apimanagement-apimnetworkstatus",2,2,1
"223","azure.com:apimanagement-apimnotifications",6,11,13
"224","azure.com:apimanagement-apimopenidconnectproviders",2,6,14
"225","azure.com:apimanagement-apimproducts",9,20,9
"226","azure.com:apimanagement-apimproperties",2,6,14
"227","azure.com:apimanagement-apimquotas",2,4,15
"228","azure.com:apimanagement-apimreports",8,8,5
"229","azure.com:apimanagement-apimsubscriptions",4,8,5
"230","azure.com:apimanagement-apimtagresources",1,1,8
"231","azure.com:apimanagement-apimtags",11,27,4
"232","azure.com:apimanagement-apimtenant",10,11,13
"233","azure.com:apimanagement-apimusers",7,11,13
"234","azure.com:apimanagement-apimversionsets",2,6,14
"235","azure.com:applicationinsights-aiOperations_API",1,1,8
"236","azure.com:applicationinsights-componentAnnotations_API",2,4,15
"237","azure.com:applicationinsights-componentApiKeys_API",2,4,15
"238","azure.com:applicationinsights-componentContinuousExport_API",2,5,17
"239","azure.com:applicationinsights-componentFeaturesAndPricing_API",4,5,17
"240","azure.com:applicationinsights-componentProactiveDetection_API",2,3,6
"241","azure.com:applicationinsights-componentWorkItemConfigs_API",3,4,15
"242","azure.com:applicationinsights-components_API",3,6,14
"243","azure.com:applicationinsights-favorites_API",2,5,17
"244","azure.com:applicationinsights-webTestLocations_API",1,1,8
"245","azure.com:applicationinsights-webTests_API",3,6,14
"246","azure.com:authorization",13,19,9
"247","azure.com:authorization-authorization-ClassicAdminCalls",1,1,8
"248","azure.com:authorization-authorization-RACalls",6,10,13
"249","azure.com:authorization-authorization-RoleBasedCalls",12,18,9
"250","azure.com:automation-account",7,10,13
"251","azure.com:automation-certificate",2,5,17
"252","azure.com:automation-connection",2,5,17
"253","azure.com:automation-connectionType",2,4,15
"254","azure.com:automation-credential",2,5,17
"255","azure.com:automation-dscCompilationJob",4,5,17
"256","azure.com:automation-dscConfiguration",3,6,14
"257","azure.com:automation-dscNode",7,9,5
"258","azure.com:automation-dscNodeConfiguration",2,4,15
"259","azure.com:automation-hybridRunbookWorkerGroup",2,4,15
"260","azure.com:automation-job",9,10,13
"261","azure.com:automation-jobSchedule",2,4,15
"262","azure.com:automation-linkedWorkspace",1,1,8
"263","azure.com:automation-module",7,10,13
"264","azure.com:automation-runbook",13,18,9
"265","azure.com:automation-schedule",2,5,17
"266","azure.com:automation-softwareUpdateConfiguration",2,4,15
"267","azure.com:automation-softwareUpdateConfigurationMachineRun",2,2,1
"268","azure.com:automation-softwareUpdateConfigurationRun",2,2,1
"269","azure.com:automation-sourceControl",2,5,17
"270","azure.com:automation-sourceControlSyncJob",2,3,6
"271","azure.com:automation-variable",2,5,17
"272","azure.com:automation-webhook",3,6,14
"273","azure.com:azsadmin-Alert",2,3,6
"274","azure.com:azsadmin-CommerceAdmin",1,1,8
"275","azure.com:azsadmin-EdgeGateway",2,2,1
"276","azure.com:azsadmin-EdgeGatewayPool",2,2,1
"277","azure.com:azsadmin-FabricLocation",2,2,1
"278","azure.com:azsadmin-FileShare",2,2,1
"279","azure.com:azsadmin-InfraRole",2,2,1
"280","azure.com:azsadmin-InfraRoleInstance",6,6,14
"281","azure.com:azsadmin-IpPool",2,3,6
"282","azure.com:azsadmin-LogicalNetwork",2,2,1
"283","azure.com:azsadmin-LogicalSubnet",2,2,1
"284","azure.com:azsadmin-MacAddressPool",2,2,1
"285","azure.com:azsadmin-Operations",2,2,1
"286","azure.com:azsadmin-RegionHealth",2,2,1
"287","azure.com:azsadmin-ResourceHealth",2,2,1
