,title,description,termsOfService,contact,license,version,used keys,missing keys
1forge.com,1,1,0,1,0,1,4,2
6-dot-authentiqio.appspot.com,1,1,1,1,1,1,6,0
adafruit.com,1,1,0,0,0,1,3,3
adobe.com:aem,1,1,0,1,0,1,4,2
afterbanks.com,1,1,0,0,0,1,3,3
agco-ats.com,1,0,0,1,0,1,3,3
airport-web.appspot.com,1,1,0,0,0,1,3,3
amadeus.com,1,0,0,1,1,1,4,2
amazonaws.com:AWSMigrationHub,1,1,1,1,1,1,6,0
amazonaws.com:acm,1,1,1,1,1,1,6,0
amazonaws.com:alexaforbusiness,1,1,1,1,1,1,6,0
amazonaws.com:apigateway,1,1,1,1,1,1,6,0
amazonaws.com:application-autoscaling,1,1,1,1,1,1,6,0
amazonaws.com:appstream,1,1,1,1,1,1,6,0
amazonaws.com:appsync,1,1,1,1,1,1,6,0
amazonaws.com:athena,1,1,1,1,1,1,6,0
amazonaws.com:autoscaling,1,1,1,1,1,1,6,0
amazonaws.com:autoscaling-plans,1,1,1,1,1,1,6,0
amazonaws.com:batch,1,1,1,1,1,1,6,0
amazonaws.com:budgets,1,1,1,1,1,1,6,0
amazonaws.com:ce,1,1,1,1,1,1,6,0
amazonaws.com:cloud9,1,1,1,1,1,1,6,0
amazonaws.com:clouddirectory,1,1,1,1,1,1,6,0
amazonaws.com:cloudformation,1,1,1,1,1,1,6,0
amazonaws.com:cloudfront,1,1,1,1,1,1,6,0
amazonaws.com:cloudhsm,1,1,1,1,1,1,6,0
amazonaws.com:cloudhsmv2,1,1,1,1,1,1,6,0
amazonaws.com:cloudsearch,1,1,1,1,1,1,6,0
amazonaws.com:cloudsearchdomain,1,1,1,1,1,1,6,0
amazonaws.com:cloudtrail,1,1,1,1,1,1,6,0
amazonaws.com:codebuild,1,1,1,1,1,1,6,0
amazonaws.com:codecommit,1,1,1,1,1,1,6,0
amazonaws.com:codedeploy,1,1,1,1,1,1,6,0
amazonaws.com:codepipeline,1,1,1,1,1,1,6,0
amazonaws.com:codestar,1,1,1,1,1,1,6,0
amazonaws.com:cognito-identity,1,1,1,1,1,1,6,0
amazonaws.com:cognito-idp,1,1,1,1,1,1,6,0
amazonaws.com:cognito-sync,1,1,1,1,1,1,6,0
amazonaws.com:comprehend,1,1,1,1,1,1,6,0
amazonaws.com:config,1,1,1,1,1,1,6,0
amazonaws.com:cur,1,1,1,1,1,1,6,0
amazonaws.com:datapipeline,1,1,1,1,1,1,6,0
amazonaws.com:dax,1,1,1,1,1,1,6,0
amazonaws.com:devicefarm,1,1,1,1,1,1,6,0
amazonaws.com:directconnect,1,1,1,1,1,1,6,0
amazonaws.com:discovery,1,1,1,1,1,1,6,0
amazonaws.com:dms,1,1,1,1,1,1,6,0
amazonaws.com:ds,1,1,1,1,1,1,6,0
amazonaws.com:dynamodb,1,1,1,1,1,1,6,0
amazonaws.com:ec2,1,1,1,1,1,1,6,0
amazonaws.com:ecr,1,1,1,1,1,1,6,0
amazonaws.com:ecs,1,1,1,1,1,1,6,0
amazonaws.com:elasticache,1,1,1,1,1,1,6,0
amazonaws.com:elasticbeanstalk,1,1,1,1,1,1,6,0
amazonaws.com:elasticfilesystem,1,1,1,1,1,1,6,0
amazonaws.com:elasticloadbalancing,1,1,1,1,1,1,6,0
amazonaws.com:elasticloadbalancingv2,1,1,1,1,1,1,6,0
amazonaws.com:elasticmapreduce,1,1,1,1,1,1,6,0
amazonaws.com:elastictranscoder,1,1,1,1,1,1,6,0
amazonaws.com:email,1,1,1,1,1,1,6,0
amazonaws.com:entitlement.marketplace,1,1,1,1,1,1,6,0
amazonaws.com:es,1,1,1,1,1,1,6,0
amazonaws.com:events,1,1,1,1,1,1,6,0
amazonaws.com:firehose,1,1,1,1,1,1,6,0
amazonaws.com:gamelift,1,1,1,1,1,1,6,0
amazonaws.com:glacier,1,1,1,1,1,1,6,0
amazonaws.com:glue,1,1,1,1,1,1,6,0
amazonaws.com:greengrass,1,1,1,1,1,1,6,0
amazonaws.com:guardduty,1,1,1,1,1,1,6,0
amazonaws.com:health,1,1,1,1,1,1,6,0
amazonaws.com:iam,1,1,1,1,1,1,6,0
amazonaws.com:importexport,1,1,1,1,1,1,6,0
amazonaws.com:inspector,1,1,1,1,1,1,6,0
amazonaws.com:iot,1,1,1,1,1,1,6,0
amazonaws.com:iot-data,1,1,1,1,1,1,6,0
amazonaws.com:iot-jobs-data,1,1,1,1,1,1,6,0
amazonaws.com:kinesis,1,1,1,1,1,1,6,0
amazonaws.com:kinesis-video-archived-media,1,1,1,1,1,1,6,0
amazonaws.com:kinesis-video-media,1,1,1,1,1,1,6,0
amazonaws.com:kinesisanalytics,1,0,1,1,1,1,5,1
amazonaws.com:kinesisvideo,1,1,1,1,1,1,6,0
amazonaws.com:kms,1,1,1,1,1,1,6,0
amazonaws.com:lambda,1,1,1,1,1,1,6,0
amazonaws.com:lex-models,1,1,1,1,1,1,6,0
amazonaws.com:lightsail,1,1,1,1,1,1,6,0
amazonaws.com:logs,1,1,1,1,1,1,6,0
amazonaws.com:machinelearning,1,1,1,1,1,1,6,0
amazonaws.com:marketplacecommerceanalytics,1,1,1,1,1,1,6,0
amazonaws.com:mediaconvert,1,1,1,1,1,1,6,0
amazonaws.com:medialive,1,1,1,1,1,1,6,0
amazonaws.com:mediapackage,1,1,1,1,1,1,6,0
amazonaws.com:mediastore,1,1,1,1,1,1,6,0
amazonaws.com:mediastore-data,1,1,1,1,1,1,6,0
amazonaws.com:meteringmarketplace,1,1,1,1,1,1,6,0
amazonaws.com:mobile,1,1,1,1,1,1,6,0
amazonaws.com:mobileanalytics,1,1,1,1,1,1,6,0
amazonaws.com:monitoring,1,1,1,1,1,1,6,0
amazonaws.com:mq,1,1,1,1,1,1,6,0
amazonaws.com:mturk-requester,1,1,1,1,1,1,6,0
amazonaws.com:opsworks,1,1,1,1,1,1,6,0
amazonaws.com:opsworkscm,1,1,1,1,1,1,6,0
amazonaws.com:organizations,1,1,1,1,1,1,6,0
amazonaws.com:pinpoint,1,0,1,1,1,1,5,1
amazonaws.com:polly,1,1,1,1,1,1,6,0
amazonaws.com:pricing,1,1,1,1,1,1,6,0
amazonaws.com:rds,1,1,1,1,1,1,6,0
amazonaws.com:redshift,1,1,1,1,1,1,6,0
amazonaws.com:rekognition,1,1,1,1,1,1,6,0
