,implemented fields,missing fields,clusters
1forge.com,7,8,3
6-dot-authentiqio.appspot.com,9,6,1
adafruit.com,11,4,2
adobe.com:aem,9,6,1
afterbanks.com,8,7,3
agco-ats.com,6,9,3
airport-web.appspot.com,10,5,1
amadeus.com,10,5,1
amazonaws.com:AWSMigrationHub,13,2,0
amazonaws.com:acm,13,2,0
amazonaws.com:alexaforbusiness,13,2,0
amazonaws.com:apigateway,13,2,0
amazonaws.com:application-autoscaling,13,2,0
amazonaws.com:appstream,13,2,0
amazonaws.com:appsync,13,2,0
amazonaws.com:athena,13,2,0
amazonaws.com:autoscaling,13,2,0
amazonaws.com:autoscaling-plans,13,2,0
amazonaws.com:batch,13,2,0
amazonaws.com:budgets,13,2,0
amazonaws.com:ce,13,2,0
amazonaws.com:cloud9,13,2,0
amazonaws.com:clouddirectory,13,2,0
amazonaws.com:cloudformation,13,2,0
amazonaws.com:cloudfront,13,2,0
amazonaws.com:cloudhsm,13,2,0
amazonaws.com:cloudhsmv2,13,2,0
amazonaws.com:cloudsearch,13,2,0
amazonaws.com:cloudsearchdomain,13,2,0
amazonaws.com:cloudtrail,13,2,0
amazonaws.com:codebuild,13,2,0
amazonaws.com:codecommit,13,2,0
amazonaws.com:codedeploy,13,2,0
amazonaws.com:codepipeline,13,2,0
amazonaws.com:codestar,13,2,0
amazonaws.com:cognito-identity,13,2,0
amazonaws.com:cognito-idp,13,2,0
amazonaws.com:cognito-sync,13,2,0
amazonaws.com:comprehend,13,2,0
amazonaws.com:config,13,2,0
amazonaws.com:cur,13,2,0
amazonaws.com:datapipeline,13,2,0
amazonaws.com:dax,13,2,0
amazonaws.com:devicefarm,13,2,0
amazonaws.com:directconnect,13,2,0
amazonaws.com:discovery,13,2,0
amazonaws.com:dms,13,2,0
amazonaws.com:ds,13,2,0
amazonaws.com:dynamodb,13,2,0
amazonaws.com:ec2,13,2,0
amazonaws.com:ecr,13,2,0
amazonaws.com:ecs,13,2,0
amazonaws.com:elasticache,13,2,0
amazonaws.com:elasticbeanstalk,13,2,0
amazonaws.com:elasticfilesystem,13,2,0
amazonaws.com:elasticloadbalancing,13,2,0
amazonaws.com:elasticloadbalancingv2,13,2,0
amazonaws.com:elasticmapreduce,13,2,0
amazonaws.com:elastictranscoder,13,2,0
amazonaws.com:email,13,2,0
amazonaws.com:entitlement.marketplace,13,2,0
amazonaws.com:es,13,2,0
amazonaws.com:events,13,2,0
amazonaws.com:firehose,13,2,0
amazonaws.com:gamelift,13,2,0
amazonaws.com:glacier,13,2,0
amazonaws.com:glue,13,2,0
amazonaws.com:greengrass,13,2,0
amazonaws.com:guardduty,13,2,0
amazonaws.com:health,13,2,0
amazonaws.com:iam,13,2,0
amazonaws.com:importexport,13,2,0
amazonaws.com:inspector,13,2,0
amazonaws.com:iot,13,2,0
amazonaws.com:iot-data,13,2,0
amazonaws.com:iot-jobs-data,13,2,0
amazonaws.com:kinesis,13,2,0
amazonaws.com:kinesis-video-archived-media,13,2,0
amazonaws.com:kinesis-video-media,13,2,0
amazonaws.com:kinesisanalytics,13,2,0
amazonaws.com:kinesisvideo,13,2,0
amazonaws.com:kms,13,2,0
amazonaws.com:lambda,13,2,0
amazonaws.com:lex-models,13,2,0
amazonaws.com:lightsail,13,2,0
amazonaws.com:logs,13,2,0
amazonaws.com:machinelearning,13,2,0
amazonaws.com:marketplacecommerceanalytics,13,2,0
amazonaws.com:mediaconvert,13,2,0
amazonaws.com:medialive,13,2,0
amazonaws.com:mediapackage,13,2,0
amazonaws.com:mediastore,13,2,0
amazonaws.com:mediastore-data,13,2,0
amazonaws.com:meteringmarketplace,13,2,0
amazonaws.com:mobile,13,2,0
amazonaws.com:mobileanalytics,13,2,0
amazonaws.com:monitoring,13,2,0
amazonaws.com:mq,13,2,0
amazonaws.com:mturk-requester,13,2,0
amazonaws.com:opsworks,13,2,0
amazonaws.com:opsworkscm,13,2,0
amazonaws.com:organizations,13,2,0
amazonaws.com:pinpoint,13,2,0
amazonaws.com:polly,13,2,0
amazonaws.com:pricing,13,2,0
amazonaws.com:rds,13,2,0
amazonaws.com:redshift,13,2,0
amazonaws.com:rekognition,13,2,0
amazonaws.com:resource-groups,13,2,0
amazonaws.com:resourcegroupstaggingapi,13,2,0
amazonaws.com:route53,13,2,0
amazonaws.com:route53domains,13,2,0
amazonaws.com:runtime.lex,13,2,0
amazonaws.com:runtime.sagemaker,13,2,0
amazonaws.com:s3,13,2,0
amazonaws.com:sagemaker,13,2,0
amazonaws.com:sdb,13,2,0
amazonaws.com:serverlessrepo,13,2,0
amazonaws.com:servicecatalog,13,2,0
amazonaws.com:servicediscovery,13,2,0
amazonaws.com:shield,13,2,0
amazonaws.com:sms,13,2,0
amazonaws.com:snowball,13,2,0
amazonaws.com:sns,13,2,0
amazonaws.com:sqs,13,2,0
amazonaws.com:ssm,13,2,0
amazonaws.com:states,13,2,0
amazonaws.com:storagegateway,13,2,0
amazonaws.com:streams.dynamodb,13,2,0
amazonaws.com:sts,13,2,0
amazonaws.com:support,13,2,0
amazonaws.com:swf,13,2,0
amazonaws.com:transcribe,13,2,0
amazonaws.com:translate,13,2,0
amazonaws.com:waf,13,2,0
amazonaws.com:waf-regional,13,2,0
amazonaws.com:workdocs,13,2,0
amazonaws.com:workmail,13,2,0
amazonaws.com:workspaces,13,2,0
amazonaws.com:xray,13,2,0
anchore.io,12,3,0
apache.org:qakka,7,8,3
apacta.com,11,4,2
api2cart.com,11,4,2
apigee.net:marketcheck-cars,10,5,1
apimatic.io,11,4,2
apis.guru,11,4,2
apitore.com:2chMatomeFeedsApis,10,5,1
apitore.com:certificateFeedsApis,10,5,1
apitore.com:cosineSimilarity,10,5,1
apitore.com:designFeedsApis,10,5,1
apitore.com:documentFrequencyApis,10,5,1
apitore.com:gameFeedsApis,10,5,1
apitore.com:japaneseWordnetApis,10,5,1
apitore.com:kmeansClusteringByWord2vec,10,5,1
apitore.com:kuromojiApis,10,5,1
apitore.com:languageDetectionApis,10,5,1
apitore.com:newsFeedsApis,10,5,1
apitore.com:pioneerBlogFeedsApis,10,5,1
apitore.com:rss2jsonApis,10,5,1
apitore.com:sentenceSeparatorApis,10,5,1
apitore.com:sentenceSimilarity,10,5,1
apitore.com:sentencepieceApis_tweet_,10,5,1
apitore.com:sentencepieceApis_wikipedia_,10,5,1
apitore.com:sentimentApis,10,5,1
apitore.com:synonymApis,10,5,1
apitore.com:techFeedsApis,10,5,1
apitore.com:text2labelByTfidfApis,10,5,1
apitore.com:text2labelByWordVectorApis,10,5,1
apitore.com:travelFeedsApis,10,5,1
apitore.com:tweetSummarizationApis,10,5,1
apitore.com:twitterApis,10,5,1
apitore.com:twitterApisWithSentimentByApitoreSentimentApi,10,5,1
apitore.com:twitterApisWithWord2vecQueryExpansion,10,5,1
"apitore.com:twitterApisWithWord2vecQueryExpansion,AndAddSentimentByApitoreSentimentApi",10,5,1
apitore.com:url2hrefApis,10,5,1
apitore.com:url2htmlApis,10,5,1
apitore.com:url2labelByTfidfApis,10,5,1
apitore.com:url2labelByWordVectorApis,10,5,1
apitore.com:url2srcApis,10,5,1
apitore.com:url2textApis,10,5,1
apitore.com:word2vecApis,10,5,1
apitore.com:wordnetApis,10,5,1
apitore.com:wordnetHypernymApis,10,5,1
apitore.com:wordnetHyponymApis,10,5,1
apitore.com:wordnetSimilarityApis,10,5,1
apitore.com:wordnetSynonymApis,10,5,1
apitore.com:wordnetTranslationApis,10,5,1
