,swagger,info,host,basePath,schemes,consumes,produces,paths,definitions,parameters,responses,securityDefinitions,security,tags,externalDocs,implemented fields,missing fields,cluster
1forge.com,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,7,8,6
6-dot-authentiqio.appspot.com,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,9,6,7
adafruit.com,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,11,4,5
adobe.com:aem,1,1,1,1,1,0,0,1,1,0,0,1,1,0,0,9,6,2
afterbanks.com,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,8,7,6
agco-ats.com,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,6,9,9
airport-web.appspot.com,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,10,5,0
amadeus.com,1,1,1,1,1,0,1,1,1,0,0,1,1,0,0,10,5,5
amazonaws.com:AWSMigrationHub,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,3
amazonaws.com:acm,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,3
amazonaws.com:alexaforbusiness,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,3
amazonaws.com:apigateway,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,3
amazonaws.com:application-autoscaling,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,3
amazonaws.com:appstream,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,3
amazonaws.com:appsync,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,3
amazonaws.com:athena,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,3
amazonaws.com:autoscaling,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,3
amazonaws.com:autoscaling-plans,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,3
amazonaws.com:batch,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,3
amazonaws.com:budgets,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,3
amazonaws.com:ce,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,3
amazonaws.com:cloud9,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,3
amazonaws.com:clouddirectory,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,3
amazonaws.com:cloudformation,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,3
amazonaws.com:cloudfront,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,3
amazonaws.com:cloudhsm,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,3
amazonaws.com:cloudhsmv2,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,3
amazonaws.com:cloudsearch,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,3
amazonaws.com:cloudsearchdomain,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,3
amazonaws.com:cloudtrail,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,3
amazonaws.com:codebuild,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,3
amazonaws.com:codecommit,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,3
amazonaws.com:codedeploy,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,3
amazonaws.com:codepipeline,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,3
amazonaws.com:codestar,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,3
amazonaws.com:cognito-identity,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,3
amazonaws.com:cognito-idp,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,3
amazonaws.com:cognito-sync,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,3
amazonaws.com:comprehend,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,3
amazonaws.com:config,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,3
amazonaws.com:cur,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,3
amazonaws.com:datapipeline,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,3
amazonaws.com:dax,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,3
amazonaws.com:devicefarm,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,3
amazonaws.com:directconnect,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,3
amazonaws.com:discovery,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,3
amazonaws.com:dms,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,3
amazonaws.com:ds,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,3
amazonaws.com:dynamodb,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,3
amazonaws.com:ec2,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,3
amazonaws.com:ecr,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,3
amazonaws.com:ecs,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,3
amazonaws.com:elasticache,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,3
amazonaws.com:elasticbeanstalk,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,3
amazonaws.com:elasticfilesystem,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,3
amazonaws.com:elasticloadbalancing,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,3
amazonaws.com:elasticloadbalancingv2,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,3
amazonaws.com:elasticmapreduce,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,3
amazonaws.com:elastictranscoder,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,3
amazonaws.com:email,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,3
amazonaws.com:entitlement.marketplace,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,3
amazonaws.com:es,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,3
