,swagger,info,host,basePath,schemes,consumes,produces,paths,definitions,parameters,responses,securityDefinitions,security,tags,externalDocs,implemented fields,missing fields,label
1forge.com,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,7,8,23
6-dot-authentiqio.appspot.com,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,9,6,23
adafruit.com,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,11,4,23
adobe.com:aem,1,1,1,1,1,0,0,1,1,0,0,1,1,0,0,9,6,23
afterbanks.com,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,8,7,23
agco-ats.com,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,6,9,23
airport-web.appspot.com,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,10,5,1
amadeus.com,1,1,1,1,1,0,1,1,1,0,0,1,1,0,0,10,5,23
amazonaws.com:AWSMigrationHub,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,4
amazonaws.com:acm,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,4
amazonaws.com:alexaforbusiness,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,4
amazonaws.com:apigateway,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,4
amazonaws.com:application-autoscaling,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,4
amazonaws.com:appstream,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,4
amazonaws.com:appsync,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,4
amazonaws.com:athena,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,4
amazonaws.com:autoscaling,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,4
amazonaws.com:autoscaling-plans,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,4
amazonaws.com:batch,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,4
amazonaws.com:budgets,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,4
amazonaws.com:ce,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,4
amazonaws.com:cloud9,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,4
amazonaws.com:clouddirectory,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,4
amazonaws.com:cloudformation,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,4
amazonaws.com:cloudfront,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,4
amazonaws.com:cloudhsm,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,4
amazonaws.com:cloudhsmv2,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,4
amazonaws.com:cloudsearch,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,4
amazonaws.com:cloudsearchdomain,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,4
amazonaws.com:cloudtrail,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,4
amazonaws.com:codebuild,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,4
amazonaws.com:codecommit,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,4
amazonaws.com:codedeploy,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,4
amazonaws.com:codepipeline,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,4
amazonaws.com:codestar,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,4
amazonaws.com:cognito-identity,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,4
amazonaws.com:cognito-idp,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,4
amazonaws.com:cognito-sync,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,4
amazonaws.com:comprehend,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,4
amazonaws.com:config,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,4
amazonaws.com:cur,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,4
amazonaws.com:datapipeline,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,4
amazonaws.com:dax,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,4
amazonaws.com:devicefarm,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,4
amazonaws.com:directconnect,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,4
amazonaws.com:discovery,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,4
amazonaws.com:dms,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,4
amazonaws.com:ds,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,4
amazonaws.com:dynamodb,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,4
amazonaws.com:ec2,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,4
amazonaws.com:ecr,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,4
amazonaws.com:ecs,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,4
amazonaws.com:elasticache,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,4
amazonaws.com:elasticbeanstalk,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,4
amazonaws.com:elasticfilesystem,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,4
amazonaws.com:elasticloadbalancing,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,4
amazonaws.com:elasticloadbalancingv2,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,4
amazonaws.com:elasticmapreduce,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,4
amazonaws.com:elastictranscoder,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,4
amazonaws.com:email,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,4
amazonaws.com:entitlement.marketplace,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,4
amazonaws.com:es,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,4
amazonaws.com:events,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,4
amazonaws.com:firehose,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,4
amazonaws.com:gamelift,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,4
amazonaws.com:glacier,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,4
amazonaws.com:glue,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,4
amazonaws.com:greengrass,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,4
amazonaws.com:guardduty,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,4
amazonaws.com:health,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,4
amazonaws.com:iam,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,4
amazonaws.com:importexport,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,4
amazonaws.com:inspector,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,4
amazonaws.com:iot,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,4
amazonaws.com:iot-data,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,4
amazonaws.com:iot-jobs-data,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,4
amazonaws.com:kinesis,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,4
amazonaws.com:kinesis-video-archived-media,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,25
amazonaws.com:kinesis-video-media,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,25
amazonaws.com:kinesisanalytics,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,4
amazonaws.com:kinesisvideo,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,4
amazonaws.com:kms,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,4
amazonaws.com:lambda,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,4
amazonaws.com:lex-models,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,4
amazonaws.com:lightsail,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,4
amazonaws.com:logs,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,4
amazonaws.com:machinelearning,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,4
amazonaws.com:marketplacecommerceanalytics,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,4
amazonaws.com:mediaconvert,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,4
amazonaws.com:medialive,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,4
amazonaws.com:mediapackage,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,4
amazonaws.com:mediastore,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,4
amazonaws.com:mediastore-data,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2,4
