"","X","paths","operations","pam_fit$clustering"
"1","1forge.com",2,2,1
"2","6-dot-authentiqio.appspot.com",5,14,2
"3","adafruit.com",34,69,3
"4","adobe.com:aem",26,30,4
"5","afterbanks.com",3,3,5
"6","agco-ats.com",109,191,6
"7","airport-web.appspot.com",1,1,7
"8","amadeus.com",23,23,4
"9","amazonaws.com:AWSMigrationHub",16,32,4
"10","amazonaws.com:acm",10,20,8
"11","amazonaws.com:alexaforbusiness",36,72,3
"12","amazonaws.com:apigateway",52,172,9
"13","amazonaws.com:application-autoscaling",10,20,8
"14","amazonaws.com:appstream",33,66,3
"15","amazonaws.com:appsync",12,39,10
"16","amazonaws.com:athena",11,22,8
"17","amazonaws.com:autoscaling",52,104,11
"18","amazonaws.com:autoscaling-plans",4,8,12
"19","amazonaws.com:batch",16,32,4
"20","amazonaws.com:budgets",13,26,4
"21","amazonaws.com:ce",5,10,13
"22","amazonaws.com:cloud9",10,20,8
"23","amazonaws.com:clouddirectory",60,122,9
"24","amazonaws.com:cloudformation",41,82,11
"25","amazonaws.com:cloudfront",18,46,10
"26","amazonaws.com:cloudhsm",20,40,10
"27","amazonaws.com:cloudhsmv2",10,20,8
"28","amazonaws.com:cloudsearch",24,48,10
"29","amazonaws.com:cloudsearchdomain",3,6,14
"30","amazonaws.com:cloudtrail",14,28,4
"31","amazonaws.com:codebuild",15,30,4
"32","amazonaws.com:codecommit",36,72,3
"33","amazonaws.com:codedeploy",40,80,11
"34","amazonaws.com:codepipeline",27,54,3
"35","amazonaws.com:codestar",18,36,10
"36","amazonaws.com:cognito-identity",18,36,10
"37","amazonaws.com:cognito-idp",95,190,6
"38","amazonaws.com:cognito-sync",12,29,4
"39","amazonaws.com:comprehend",11,22,8
"40","amazonaws.com:config",27,54,3
"41","amazonaws.com:cur",3,6,14
"42","amazonaws.com:datapipeline",19,38,10
"43","amazonaws.com:dax",21,42,10
"44","amazonaws.com:devicefarm",49,98,11
"45","amazonaws.com:directconnect",44,88,11
"46","amazonaws.com:discovery",19,38,10
"47","amazonaws.com:dms",44,88,11
"48","amazonaws.com:ds",40,80,11
"49","amazonaws.com:dynamodb",29,58,3
"50","amazonaws.com:ec2",268,536,15
"51","amazonaws.com:ecr",22,44,10
"52","amazonaws.com:ecs",31,62,3
"53","amazonaws.com:elasticache",40,80,11
"54","amazonaws.com:elasticbeanstalk",43,86,11
"55","amazonaws.com:elasticfilesystem",8,19,8
"56","amazonaws.com:elasticloadbalancing",29,58,3
"57","amazonaws.com:elasticloadbalancingv2",34,68,3
"58","amazonaws.com:elasticmapreduce",27,54,3
"59","amazonaws.com:elastictranscoder",11,28,4
"60","amazonaws.com:email",70,140,9
"61","amazonaws.com:entitlement.marketplace",1,2,1
"62","amazonaws.com:es",12,26,4
"63","amazonaws.com:events",15,30,4
"64","amazonaws.com:firehose",7,14,2
"65","amazonaws.com:gamelift",65,130,9
"66","amazonaws.com:glacier",18,51,3
"67","amazonaws.com:glue",78,156,9
"68","amazonaws.com:greengrass",38,112,11
"69","amazonaws.com:guardduty",26,63,3
"70","amazonaws.com:health",6,12,13
"71","amazonaws.com:iam",122,244,6
"72","amazonaws.com:importexport",6,12,13
"73","amazonaws.com:inspector",33,66,3
"74","amazonaws.com:iot",75,198,9
"75","amazonaws.com:iot-data",2,6,14
"76","amazonaws.com:iot-jobs-data",3,7,14
"77","amazonaws.com:kinesis",23,46,10
"78","amazonaws.com:kinesis-video-archived-media",2,4,16
"79","amazonaws.com:kinesis-video-media",1,2,1
"80","amazonaws.com:kinesisanalytics",17,34,4
"81","amazonaws.com:kinesisvideo",10,20,8
"82","amazonaws.com:kms",35,70,3
"83","amazonaws.com:lambda",17,47,10
"84","amazonaws.com:lex-models",32,68,3
"85","amazonaws.com:lightsail",71,142,9
"86","amazonaws.com:logs",33,66,3
"87","amazonaws.com:machinelearning",28,56,3
"88","amazonaws.com:marketplacecommerceanalytics",2,4,16
"89","amazonaws.com:mediaconvert",9,29,4
"90","amazonaws.com:medialive",8,23,8
"91","amazonaws.com:mediapackage",5,16,2
"92","amazonaws.com:mediastore",10,20,8
"93","amazonaws.com:mediastore-data",2,7,14
"94","amazonaws.com:meteringmarketplace",3,6,14
"95","amazonaws.com:mobile",7,16,2
"96","amazonaws.com:mobileanalytics",1,2,1
"97","amazonaws.com:monitoring",15,30,4
"98","amazonaws.com:mq",9,26,4
"99","amazonaws.com:mturk-requester",39,78,11
"100","amazonaws.com:opsworks",74,148,9
"101","amazonaws.com:opsworkscm",15,30,4
"102","amazonaws.com:organizations",42,84,11
"103","amazonaws.com:pinpoint",32,97,11
"104","amazonaws.com:polly",4,10,13
"105","amazonaws.com:pricing",3,6,14
"106","amazonaws.com:rds",91,182,6
"107","amazonaws.com:redshift",63,126,9
"108","amazonaws.com:rekognition",33,66,3
"109","amazonaws.com:resource-groups",6,18,8
"110","amazonaws.com:resourcegroupstaggingapi",5,10,13
"111","amazonaws.com:route53",40,96,11
"112","amazonaws.com:route53domains",24,48,10
"113","amazonaws.com:runtime.lex",2,4,16
"114","amazonaws.com:runtime.sagemaker",1,2,1
"115","amazonaws.com:s3",74,151,9
"116","amazonaws.com:sagemaker",34,68,3
"117","amazonaws.com:sdb",10,20,8
"118","amazonaws.com:serverlessrepo",6,16,2
"119","amazonaws.com:servicecatalog",60,120,9
"120","amazonaws.com:servicediscovery",18,36,10
"121","amazonaws.com:shield",10,20,8
"122","amazonaws.com:sms",11,22,8
"123","amazonaws.com:snowball",17,34,4
"124","amazonaws.com:sns",30,60,3
"125","amazonaws.com:sqs",20,40,10
"126","amazonaws.com:ssm",97,194,6
"127","amazonaws.com:states",19,38,10
"128","amazonaws.com:storagegateway",63,126,9
"129","amazonaws.com:streams.dynamodb",4,8,12
"130","amazonaws.com:sts",7,14,2
"131","amazonaws.com:support",14,28,4
"132","amazonaws.com:swf",31,62,3
"133","amazonaws.com:transcribe",3,6,14
"134","amazonaws.com:translate",1,2,1
"135","amazonaws.com:waf",69,138,9
"136","amazonaws.com:waf-regional",73,146,9
"137","amazonaws.com:workdocs",25,65,3
"138","amazonaws.com:workmail",28,56,3
"139","amazonaws.com:workspaces",14,28,4
"140","amazonaws.com:xray",6,12,13
"141","anchore.io",31,45,3
"142","apache.org:qakka",7,10,13
"143","apacta.com",79,136,9
"144","api2cart.com",108,108,9
"145","apigee.net:marketcheck-cars",27,35,10
"146","apimatic.io",1,1,7
"147","apis.guru",2,2,1
"148","apitore.com:2chMatomeFeedsApis",1,1,7
"149","apitore.com:certificateFeedsApis",1,1,7
"150","apitore.com:cosineSimilarity",2,2,1
"151","apitore.com:designFeedsApis",1,1,7
"152","apitore.com:documentFrequencyApis",1,1,7
"153","apitore.com:gameFeedsApis",1,1,7
"154","apitore.com:japaneseWordnetApis",1,1,7
"155","apitore.com:kmeansClusteringByWord2vec",1,1,7
"156","apitore.com:kuromojiApis",2,4,16
"157","apitore.com:languageDetectionApis",2,2,1
"158","apitore.com:newsFeedsApis",1,1,7
"159","apitore.com:pioneerBlogFeedsApis",1,1,7
"160","apitore.com:rss2jsonApis",1,1,7
"161","apitore.com:sentenceSeparatorApis",1,1,7
"162","apitore.com:sentenceSimilarity",1,1,7
"163","apitore.com:sentencepieceApis_tweet_",1,1,7
"164","apitore.com:sentencepieceApis_wikipedia_",2,2,1
"165","apitore.com:sentimentApis",1,1,7
"166","apitore.com:synonymApis",1,1,7
"167","apitore.com:techFeedsApis",1,1,7
"168","apitore.com:text2labelByTfidfApis",1,1,7
"169","apitore.com:text2labelByWordVectorApis",1,1,7
"170","apitore.com:travelFeedsApis",1,1,7
"171","apitore.com:tweetSummarizationApis",1,1,7
"172","apitore.com:twitterApis",3,3,5
"173","apitore.com:twitterApisWithSentimentByApitoreSentimentApi",1,1,7
"174","apitore.com:twitterApisWithWord2vecQueryExpansion",1,1,7
"175","apitore.com:twitterApisWithWord2vecQueryExpansion,AndAddSentimentByApitoreSentimentApi",1,1,7
"176","apitore.com:url2hrefApis",1,1,7
"177","apitore.com:url2htmlApis",1,1,7
"178","apitore.com:url2labelByTfidfApis",1,1,7
"179","apitore.com:url2labelByWordVectorApis",1,1,7
"180","apitore.com:url2srcApis",1,1,7
"181","apitore.com:url2textApis",1,1,7
"182","apitore.com:word2vecApis",5,5,17
"183","apitore.com:wordnetApis",8,8,12
"184","apitore.com:wordnetHypernymApis",1,1,7
"185","apitore.com:wordnetHyponymApis",1,1,7
"186","apitore.com:wordnetSimilarityApis",8,8,12
"187","apitore.com:wordnetSynonymApis",1,1,7
"188","apitore.com:wordnetTranslationApis",1,1,7
"189","apitore.com:wordsToVectorsApis",1,1,7
"190","applicationinsights.io:applicationinsights-AppInsights",8,9,12
"191","appveyor.com",34,75,3
"192","archive.org:search",3,3,5
"193","archive.org:wayback",1,2,1
"194","art19.com",22,22,8
"195","ato.gov.au",38,108,11
"196","aucklandmuseum.com",4,6,14
"197","authentiq.io",6,9,12
"198","avaza.com",28,40,10
"199","aviationdata.systems",6,6,14
"200","azure.com:advisor",9,13,2
"201","azure.com:analysisservices",12,15,2
"202","azure.com:apimanagement",4,7,12
"203","azure.com:apimanagement-apimapis",19,46,10
"204","azure.com:apimanagement-apimauthorizationservers",2,6,14
"205","azure.com:apimanagement-apimbackends",3,7,14
"206","azure.com:apimanagement-apimcertificates",2,5,17
"207","azure.com:apimanagement-apimdeployment",11,14,2
"208","azure.com:apimanagement-apimdiagnostics",4,10,13
"209","azure.com:apimanagement-apimemailtemplate",2,6,14
"210","azure.com:apimanagement-apimgroups",4,10,13
"211","azure.com:apimanagement-apimidentityprovider",2,6,14
"212","azure.com:apimanagement-apimloggers",2,6,14
"213","azure.com:apimanagement-apimnetworkstatus",2,2,1
"214","azure.com:apimanagement-apimnotifications",6,11,13
"215","azure.com:apimanagement-apimopenidconnectproviders",2,6,14
"216","azure.com:apimanagement-apimproducts",9,20,8
"217","azure.com:apimanagement-apimproperties",2,6,14
"218","azure.com:apimanagement-apimquotas",2,4,16
"219","azure.com:apimanagement-apimreports",8,8,12
"220","azure.com:apimanagement-apimsubscriptions",4,8,12
"221","azure.com:apimanagement-apimtagresources",1,1,7
"222","azure.com:apimanagement-apimtags",11,27,4
"223","azure.com:apimanagement-apimtenant",10,11,13
"224","azure.com:apimanagement-apimusers",7,11,13
"225","azure.com:apimanagement-apimversionsets",2,6,14
"226","azure.com:applicationinsights-aiOperations_API",1,1,7
"227","azure.com:applicationinsights-componentAnnotations_API",2,4,16
"228","azure.com:applicationinsights-componentApiKeys_API",2,4,16
"229","azure.com:applicationinsights-componentContinuousExport_API",2,5,17
"230","azure.com:applicationinsights-componentFeaturesAndPricing_API",4,5,17
"231","azure.com:applicationinsights-componentProactiveDetection_API",2,3,5
"232","azure.com:applicationinsights-componentWorkItemConfigs_API",3,4,16
"233","azure.com:applicationinsights-components_API",3,6,14
"234","azure.com:applicationinsights-favorites_API",2,5,17
"235","azure.com:applicationinsights-webTestLocations_API",1,1,7
"236","azure.com:applicationinsights-webTests_API",3,6,14
"237","azure.com:authorization",13,19,8
"238","azure.com:authorization-authorization-ClassicAdminCalls",1,1,7
"239","azure.com:authorization-authorization-RACalls",6,10,13
"240","azure.com:authorization-authorization-RoleBasedCalls",12,18,8
"241","azure.com:automation-account",6,9,12
"242","azure.com:automation-certificate",2,5,17
"243","azure.com:automation-connection",2,5,17
"244","azure.com:automation-connectionType",2,4,16
"245","azure.com:automation-credential",2,5,17
"246","azure.com:automation-dscCompilationJob",4,5,17
"247","azure.com:automation-dscConfiguration",3,5,17
"248","azure.com:automation-dscNode",7,9,12
"249","azure.com:automation-dscNodeConfiguration",2,4,16
"250","azure.com:automation-hybridRunbookWorkerGroup",2,4,16
"251","azure.com:automation-job",9,10,13
"252","azure.com:automation-jobSchedule",2,4,16
"253","azure.com:automation-linkedWorkspace",1,1,7
"254","azure.com:automation-module",7,10,13
"255","azure.com:automation-runbook",13,18,8
"256","azure.com:automation-schedule",2,5,17
"257","azure.com:automation-softwareUpdateConfiguration",2,4,16
"258","azure.com:automation-softwareUpdateConfigurationMachineRun",2,2,1
"259","azure.com:automation-softwareUpdateConfigurationRun",2,2,1
"260","azure.com:automation-sourceControl",2,5,17
"261","azure.com:automation-sourceControlSyncJob",2,3,5
"262","azure.com:automation-variable",2,5,17
"263","azure.com:automation-webhook",3,6,14
"264","azure.com:azsadmin-Alert",2,3,5
"265","azure.com:azsadmin-CommerceAdmin",1,1,7
"266","azure.com:azsadmin-EdgeGateway",2,2,1
"267","azure.com:azsadmin-EdgeGatewayPool",2,2,1
"268","azure.com:azsadmin-FabricLocation",2,2,1
"269","azure.com:azsadmin-FileShare",2,2,1
"270","azure.com:azsadmin-InfraRole",2,2,1
"271","azure.com:azsadmin-InfraRoleInstance",6,6,14
"272","azure.com:azsadmin-IpPool",2,3,5
"273","azure.com:azsadmin-LogicalNetwork",2,2,1
"274","azure.com:azsadmin-LogicalSubnet",2,2,1
"275","azure.com:azsadmin-MacAddressPool",2,2,1
"276","azure.com:azsadmin-Operations",2,2,1
"277","azure.com:azsadmin-RegionHealth",2,2,1
"278","azure.com:azsadmin-ResourceHealth",2,2,1
"279","azure.com:azsadmin-ScaleUnit",2,2,1
"280","azure.com:azsadmin-ScaleUnitNode",6,6,14
"281","azure.com:azsadmin-ServiceHealth",2,2,1
"282","azure.com:azsadmin-SlbMuxInstance",2,2,1
"283","azure.com:azsadmin-StoragePool",2,2,1
"284","azure.com:azsadmin-StorageSystem",2,2,1
"285","azure.com:azsadmin-Volume",2,2,1
