"","X","swagger","info","host","basePath","schemes","consumes","produces","paths","definitions","parameters","responses","securityDefinitions","security","tags","externalDocs","title","description","termsOfService","contact","license","version","pam_fit$clustering"
"1","1forge.com",1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,1,1
"2","6-dot-authentiqio.appspot.com",1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,2
"3","adafruit.com",1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,1,1,0,0,0,1,3
"4","adobe.com:aem",1,1,1,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,3
"5","adyen.com:CheckoutService",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,1
"6","adyen.com:PaymentService",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,1
"7","adyen.com:RecurringService",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,1
"8","afterbanks.com",1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,1
"9","agco-ats.com",1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,1
"10","airport-web.appspot.com",1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,0,0,0,1,4
"11","amadeus.com",1,1,1,1,1,0,1,1,1,0,0,1,1,0,0,1,0,0,1,1,1,3
"12","amazonaws.com:AWSMigrationHub",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,5
"13","amazonaws.com:acm",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,5
"14","amazonaws.com:acm-pca",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,5
"15","amazonaws.com:alexaforbusiness",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,5
"16","amazonaws.com:apigateway",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,5
"17","amazonaws.com:application-autoscaling",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,5
"18","amazonaws.com:appstream",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,5
"19","amazonaws.com:appsync",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,5
"20","amazonaws.com:athena",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,5
"21","amazonaws.com:autoscaling",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,5
"22","amazonaws.com:autoscaling-plans",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,5
"23","amazonaws.com:batch",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,5
"24","amazonaws.com:budgets",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,5
"25","amazonaws.com:ce",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,5
"26","amazonaws.com:cloud9",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,5
"27","amazonaws.com:clouddirectory",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,5
"28","amazonaws.com:cloudformation",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,5
"29","amazonaws.com:cloudfront",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,5
"30","amazonaws.com:cloudhsm",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,5
"31","amazonaws.com:cloudhsmv2",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,5
"32","amazonaws.com:cloudsearch",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,5
"33","amazonaws.com:cloudsearchdomain",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,5
"34","amazonaws.com:cloudtrail",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,5
"35","amazonaws.com:codebuild",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,5
"36","amazonaws.com:codecommit",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,5
"37","amazonaws.com:codedeploy",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,5
"38","amazonaws.com:codepipeline",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,5
"39","amazonaws.com:codestar",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,5
"40","amazonaws.com:cognito-identity",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,5
"41","amazonaws.com:cognito-idp",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,5
"42","amazonaws.com:cognito-sync",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,5
"43","amazonaws.com:comprehend",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,5
"44","amazonaws.com:config",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,5
"45","amazonaws.com:connect",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,5
"46","amazonaws.com:cur",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,5
"47","amazonaws.com:datapipeline",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,5
"48","amazonaws.com:dax",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,5
"49","amazonaws.com:devicefarm",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,5
"50","amazonaws.com:directconnect",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,5
"51","amazonaws.com:discovery",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,5
"52","amazonaws.com:dms",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,5
"53","amazonaws.com:ds",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,5
"54","amazonaws.com:dynamodb",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,5
"55","amazonaws.com:ec2",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,5
"56","amazonaws.com:ecr",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,5
"57","amazonaws.com:ecs",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,5
"58","amazonaws.com:elasticache",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,5
"59","amazonaws.com:elasticbeanstalk",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,5
"60","amazonaws.com:elasticfilesystem",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,5
